OrderID,OrderDate,CustomerID,CustomerName,Segment,Region,State,Category,Product,Quantity,UnitPrice,Sales,Profit
ORD-10050,2024-01-01,CUST-1258,Saanvi Chopra,Small Business,East,Jharkhand,Electronics,Headphones,1,23099.98,30029.97,7952.97
ORD-10105,2024-01-01,CUST-1191,Vivaan Bhatt,Corporate,North,Uttar Pradesh,Books,Biography,6,714.32,5571.7,880.02
ORD-12338,2024-01-01,CUST-1329,Kiara Menon,Consumer,East,West Bengal,Electronics,Smartphone,2,8007.49,20819.47,5506.67
ORD-12932,2024-01-01,CUST-1187,Aditya Mehta,Consumer,West,Goa,Clothing,Jeans,6,3374.77,26323.21,7804.03
ORD-10318,2024-01-01,CUST-1187,Diya Agarwal,Consumer,South,Telangana,Books,Fiction Novel,2,194.33,505.26,139.84
ORD-10891,2024-01-01,CUST-1160,Arjun Menon,Consumer,North,Haryana,Home & Kitchen,Air Fryer,7,1753.8,15959.58,2112.96
ORD-10033,2024-01-01,CUST-1116,Aarav Patel,Consumer,West,Goa,Sports,Dumbbells,6,503.98,3931.04,1295.88
ORD-12906,2024-01-02,CUST-1018,Reyansh Menon,Corporate,North,Haryana,Clothing,Saree,2,2694.6,7005.96,2370.15
ORD-10741,2024-01-02,CUST-1071,Ishita Kumar,Consumer,West,Rajasthan,Home & Kitchen,Mixer Grinder,3,7768.32,30296.45,5851.76
ORD-12043,2024-01-02,CUST-1175,Ishita Sharma,Consumer,North,Punjab,Electronics,Laptop,7,20822.18,189481.84,54708.92
ORD-12628,2024-01-03,CUST-1078,Kiara Singh,Small Business,Central,Madhya Pradesh,Home & Kitchen,Air Fryer,7,2322.89,21138.3,4080.01
ORD-10642,2024-01-03,CUST-1113,Diya Bose,Corporate,South,Karnataka,Clothing,Jacket,5,2136.53,13887.45,1746.79
ORD-12363,2024-01-03,CUST-1237,Krishna Iyer,Consumer,North,Uttar Pradesh,Clothing,Jacket,6,804.94,6278.53,1094.45
ORD-11892,2024-01-03,CUST-1092,Reyansh Pillai,Consumer,West,Goa,Clothing,T-Shirt,3,1727.42,6736.94,1050.7
ORD-10067,2024-01-04,CUST-1355,Navya Mehta,Consumer,North,Delhi,Electronics,Tablet,1,17532.23,22791.9,1891.02
ORD-12439,2024-01-04,CUST-1129,Diya Joshi,Corporate,East,West Bengal,Clothing,T-Shirt,2,2048.42,5325.89,1041.26
ORD-11336,2024-01-04,CUST-1392,Saanvi Patel,Small Business,South,Tamil Nadu,Electronics,Laptop,4,54463.03,283207.76,66694.25
ORD-10753,2024-01-05,CUST-1168,Rohan Menon,Consumer,East,West Bengal,Home & Kitchen,Bedsheet,1,4239.4,5511.22,677.28
ORD-10199,2024-01-05,CUST-1223,Vivaan Bose,Small Business,East,West Bengal,Clothing,T-Shirt,5,3383.16,21990.54,5006.19
ORD-10789,2024-01-05,CUST-1141,Ananya Rao,Consumer,North,Haryana,Clothing,Saree,4,3159.36,16428.67,3510.75
ORD-11929,2024-01-06,CUST-1167,Anika Bhatt,Small Business,East,Jharkhand,Sports,Running Shoes,7,3788.8,34478.08,10948.12
ORD-12961,2024-01-06,CUST-1346,Anika Malhotra,Consumer,South,Kerala,Home & Kitchen,Cookware Set,7,7916.38,72039.06,14704.66
ORD-10282,2024-01-06,CUST-1211,Arjun Mehta,Consumer,South,Tamil Nadu,Electronics,Laptop,6,20524.85,160093.83,54552.25
ORD-11928,2024-01-07,CUST-1288,Aditya Sharma,Consumer,North,Delhi,Electronics,Laptop,7,11853.07,107862.94,10100.62
ORD-12078,2024-01-07,CUST-1321,Vihaan Verma,Corporate,West,Goa,Books,Textbook,1,851.54,1107.0,112.48
ORD-10121,2024-01-07,CUST-1205,Vivaan Gupta,Consumer,South,Karnataka,Clothing,Jacket,4,3291.47,17115.64,4171.43
ORD-11348,2024-01-08,CUST-1370,Kiara Joshi,Consumer,North,Punjab,Home & Kitchen,Air Fryer,5,4431.63,28805.6,2526.8
ORD-11761,2024-01-09,CUST-1342,Navya Kapoor,Small Business,North,Punjab,Electronics,Smartphone,6,4096.8,31955.04,4940.74
ORD-12879,2024-01-09,CUST-1230,Kiara Mehta,Small Business,South,Telangana,Clothing,T-Shirt,6,1530.78,11940.08,3072.06
ORD-11002,2024-01-10,CUST-1085,Diya Rao,Corporate,West,Rajasthan,Clothing,Saree,7,2428.83,22102.35,7182.31
ORD-12143,2024-01-10,CUST-1397,Sai Menon,Consumer,West,Rajasthan,Books,Comics,2,653.11,1698.09,467.94
ORD-10593,2024-01-10,CUST-1199,Anika Kapoor,Consumer,North,Punjab,Clothing,Saree,5,2189.32,14230.58,4738.45
ORD-11255,2024-01-10,CUST-1389,Anika Rao,Consumer,West,Goa,Clothing,Kurta,2,2351.67,6114.34,1291.74
ORD-12238,2024-01-11,CUST-1056,Vihaan Verma,Consumer,East,Bihar,Clothing,T-Shirt,2,862.36,2242.14,513.28
ORD-11275,2024-01-11,CUST-1092,Myra Patel,Consumer,South,Telangana,Sports,Dumbbells,1,1118.1,1453.53,308.0
ORD-11542,2024-01-11,CUST-1073,Aadhya Reddy,Small Business,North,Uttar Pradesh,Electronics,Tablet,3,37222.56,145167.98,41385.48
ORD-12416,2024-01-11,CUST-1342,Navya Bose,Consumer,North,Punjab,Electronics,Laptop,2,35352.01,91915.23,10086.38
ORD-11049,2024-01-11,CUST-1322,Aarav Chopra,Small Business,North,Punjab,Electronics,Laptop,5,56392.73,366552.75,75750.99
ORD-10072,2024-01-12,CUST-1197,Arjun Kapoor,Corporate,East,Jharkhand,Books,Biography,1,188.7,245.31,22.55
ORD-12525,2024-01-12,CUST-1157,Arjun Nair,Consumer,West,Gujarat,Clothing,Jeans,1,840.95,1093.24,326.32
ORD-10702,2024-01-13,CUST-1013,Anika Gupta,Consumer,Central,Chhattisgarh,Electronics,Headphones,3,24511.14,95593.45,26837.45
ORD-10684,2024-01-13,CUST-1263,Ishita Singh,Consumer,North,Delhi,Home & Kitchen,Cookware Set,6,6959.82,54286.6,17113.49
ORD-11328,2024-01-13,CUST-1364,Anika Iyer,Consumer,North,Delhi,Clothing,Saree,1,3319.25,4315.03,1099.88
ORD-10760,2024-01-13,CUST-1253,Arjun Gupta,Consumer,South,Tamil Nadu,Electronics,Smartphone,3,11242.92,43847.39,3948.83
ORD-12254,2024-01-14,CUST-1257,Kiara Chopra,Consumer,North,Uttar Pradesh,Books,Biography,7,798.39,7265.35,2240.36
ORD-10340,2024-01-14,CUST-1271,Ishita Gupta,Corporate,Central,Chhattisgarh,Clothing,Saree,2,1698.81,4416.91,964.99
ORD-12591,2024-01-14,CUST-1221,Aditya Gupta,Consumer,South,Telangana,Clothing,Jacket,3,1080.63,4214.46,965.39
ORD-12120,2024-01-15,CUST-1325,Ishita Bose,Corporate,North,Haryana,Home & Kitchen,Lamp,6,1835.32,14315.5,4458.92
ORD-10951,2024-01-15,CUST-1185,Saanvi Bose,Consumer,North,Uttar Pradesh,Electronics,Headphones,7,4922.32,44793.11,12362.02
ORD-10073,2024-01-16,CUST-1136,Kiara Reddy,Consumer,Central,Madhya Pradesh,Home & Kitchen,Cookware Set,3,7587.57,29591.52,9115.03
ORD-10682,2024-01-16,CUST-1268,Vivaan Agarwal,Consumer,North,Punjab,Clothing,Saree,6,3495.65,27266.07,4193.49
ORD-11862,2024-01-16,CUST-1272,Saanvi Gupta,Consumer,North,Uttar Pradesh,Electronics,Smartphone,3,15115.3,58949.67,11985.34
ORD-11218,2024-01-16,CUST-1304,Anika Kapoor,Small Business,North,Uttar Pradesh,Clothing,T-Shirt,1,3481.13,4525.47,709.82
ORD-10025,2024-01-16,CUST-1177,Ishita Malhotra,Corporate,North,Haryana,Sports,Dumbbells,3,2114.68,8247.25,2800.12
ORD-11315,2024-01-16,CUST-1398,Kiara Sharma,Small Business,West,Rajasthan,Clothing,Jeans,7,1992.09,18128.02,2074.02
ORD-10839,2024-01-16,CUST-1196,Vihaan Iyer,Corporate,North,Delhi,Sports,Football,3,1423.24,5550.64,753.55
